dataset,outcome,model,seed,n_train,n_validation,n_test,n_features,fit_seconds,predict_seconds,qini_auc_normalized,qini_coefficient,uplift_auc_normalized,auuc,uplift_at_10pct,uplift_at_20pct,ate_test,cate_mean,cate_std,test_events_control,test_events_treated
lzd,Y,dr_learner,0,109114,36363,36192,64,1.8681806860258805,0.0133347279625013,0.0353444651849581,0.0003007356926509,0.0024373477698684,0.0027415885392423,0.0170988026531139,0.0123201317912856,0.0042956392587139,0.0043084382475631,0.0195213534377497,571,710
lzd,Y,dragonnet,0,109114,36363,36192,64,36.30788618000224,0.0136650769272819,-0.0400056488177179,-0.0003403963377062,-0.0025854148106428,0.0015179797055288,0.0179786639464674,0.0074088605645474,0.0042956392587139,-0.0022197336626479,0.0137623215289292,571,710
lzd,Y,t_learner,1,109053,36232,36384,64,1.973639052012004,0.1283638650784269,0.0011995488000879,1.053023287717667e-05,0.0001861442955753,0.0014044036655845,0.0029497561825148,0.0036345793622111,0.002717499946419,0.004749157740661,0.0495500187256,600,703
lzd,Y,x_learner,1,109053,36232,36384,64,1.6894098370103166,0.0604463130002841,0.0070178596018651,6.160624386565374e-05,0.0004948486423528,0.0014801163982204,-0.0087117415773648,0.0074542750988917,0.002717499946419,0.0035794446329386,0.0186291275058385,600,703
lzd,Y,dr_learner,1,109053,36232,36384,64,2.2260512550128624,0.0172630209708586,0.0134949383276805,0.000118465245635,0.0009381700977615,0.0015888452812942,-0.0010224420437356,0.0046315978959796,0.002717499946419,0.0036144695636164,0.0193717884144306,600,703
lzd,Y,dragonnet,1,109053,36232,36384,64,44.6539640519768,0.0133121770340949,0.0314036689300332,0.0002756769437031,0.0021562129627702,0.0018875820977342,0.010152275051519,0.0111484056581155,0.002717499946419,0.0051374959545331,0.013881660693948,600,703
lzd,Y,t_learner,2,109070,36244,36355,64,1.8867965310346333,0.1251567149301991,-0.0250246238189651,-0.0002134743576582,-0.0015858176183228,0.001390874392372,0.0124744379993181,0.006210304579359,0.0035594000306787,0.005338571050988,0.0458936752908086,583,700
lzd,Y,x_learner,2,109070,36244,36355,64,1.660640740999952,0.0519028230337426,0.0134644538532515,0.0001148594943259,0.0009658147882663,0.0020165075349303,0.0180507568353757,0.0086304226866168,0.0035594000306787,0.0044918320079411,0.0194453780423906,583,700
lzd,Y,dr_learner,2,109070,36244,36355,64,2.2107359409565106,0.0199925120687112,0.0722077733790995,0.0006159736166884,0.0048257551359622,0.0029629238774962,0.0217513724036955,0.0136145217118733,0.0035594000306787,0.0045010068718378,0.0210135888262331,583,700
lzd,Y,dragonnet,2,109070,36244,36355,64,68.8245808610227,0.0126994510646909,0.0523210453975939,0.0004463284498924,0.0035398813813364,0.0026476413015411,0.0172788146338774,0.0112696154842462,0.0035594000306787,0.0047845853726476,0.0250754319574837,583,700
